image;objectUrl;title;inventoryNumber;autor;category;size;provenance;owner;material;technique;dating;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171115/C86111_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/716";Sanguszkowa Konstancja z Doenhoffów (ok.1716-1791) - portret;Wil.1280;Silvestre Louis de;Malarstwo obce;78,9 x 62,8, w ramie: 87,3 x 71,0 x 4,0;Drezno , Saksonia , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1742;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171124/C58495_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/721";Conti de, ksi??na - portret;Wil.1285;szko?a francuska;Malarstwo obce;74,0 x 57,3, w ramie: 87,0 x 71,5 x 5,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171138/C58499_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/725";Lude de, pani - portret;Wil.1289;Mignard Pierre;Malarstwo obce;74,0 x 64,0, w ramie: 77,0 x 66,7 x 4,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171145/C84117_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/727";Fontanges de, ksi??na - portret;Wil.1290;szko?a francuska;Malarstwo obce;71,0 x 55,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171170/C58504_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/729";Rohan-Soubise de, ksi??na - portret;Wil.1292;Mignard Pierre;Malarstwo obce;76,8 x 61,5, w ramie: 86,8 x 71,7 x 5,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171175/C15096_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/732";Maria Kazimiera Sobieska (1641-1716) - portret;Wil.1295;szko?a francuska;Malarstwo obce;100,0 x 67,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1660 - 1665;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171184/C13535_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/744";Kobieta nieznana - portret;Wil.1305;malarz polski;Malarstwo polskie;74,0 x 60,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. po?. XVII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171188/C10155_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/745";Branicka Izabela z Poniatowskich (1730-1808) - portret;Wil.1306;szko?a francuska;Malarstwo obce;50,3 x 43,4, w ramie: 55,0 x 48,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1748?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171189/C16919_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/764";Potocki Stanis?aw (1825-1888) - portret;Wil.1323;Tyrowicz T.;Malarstwo polskie;110,0 x 80,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1848;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171195/C28766_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/782";?w. Franciszek z Asy?u;Wil.1341;szko?a hiszpa?ska;Malarstwo obce;28,6 x 22,5, w ramie: 34,1 x 40,6;Hiszpania;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVIII;
